participant_id,task_id,river_presence,node_movement_constraint,is_correct,time_taken
18,13,0,0,1,6451
18,14,0,0,1,9182
18,15,0,0,0,17832
18,16,0,0,0,7531
19,1,1,0,1,7214
19,2,1,0,0,7751
19,3,1,0,0,12761
19,4,1,0,0,8544
19,6,0,1,0,17651
19,7,0,1,0,10053
19,8,0,1,0,7421
19,9,1,1,1,4832
19,10,1,1,0,7651
19,11,1,1,1,4876
19,12,1,1,0,15328
19,13,0,0,1,5471
19,14,0,0,0,10081
19,15,0,0,0,4234
19,16,0,0,0,17541
20,1,1,0,1,6231
20,2,1,0,0,15564
20,3,1,0,1,19952
20,4,1,0,1,17741
20,5,0,1,1,6645
20,6,0,1,1,5312
20,7,0,1,0,9562
20,8,0,1,1,7225
20,9,1,1,1,4553
20,10,1,1,1,4836
20,11,1,1,0,7546
20,12,1,1,0,18075
20,13,0,0,1,6261
20,14,0,0,0,10082
20,15,0,0,0,8664
20,16,0,0,0,9102
21,1,1,0,1,16654
21,2,1,0,0,9715
21,3,1,0,1,21850
21,5,0,1,1,10085
21,6,0,1,1,6527
21,7,0,1,0,15261
21,8,0,1,0,9182
21,9,1,1,1,7377
21,10,1,1,0,8371
21,11,1,1,0,10871
21,13,0,0,1,6388
21,14,0,0,0,11084
21,16,0,0,0,9851
22,1,1,0,1,6121
22,2,1,0,0,6355
22,3,1,0,0,12286
22,4,1,0,0,7615
22,5,0,1,1,4517
22,6,0,1,1,10018
22,7,0,1,0,7193
22,8,0,1,0,6910
22,9,1,1,1,4981
22,10,1,1,0,6718
22,11,1,1,0,7472
22,12,1,1,1,10812
22,13,0,0,1,4821
22,14,0,0,0,7618
22,15,0,0,0,20887
22,16,0,0,1,7590
23,1,1,0,1,3155
23,2,1,0,1,4755
23,3,1,0,1,3716
23,4,1,0,1,3684
23,5,0,1,1,4759
23,6,0,1,0,3883
23,7,0,1,1,4785
23,8,0,1,0,6727
23,9,1,1,1,4751
23,10,1,1,1,4151
23,11,1,1,1,3849
23,12,1,1,0,3791
23,13,0,0,1,3647
23,14,0,0,0,4679
23,15,0,0,0,3965
23,16,0,0,0,4516
24,1,1,0,1,9818
24,2,1,0,0,5872
24,3,1,0,1,14671
24,5,0,1,1,4507
24,7,0,1,1,9671
24,8,0,1,0,10076
24,9,1,1,1,3581
24,10,1,1,1,15607
24,11,1,1,1,4871
24,12,1,1,0,10758
24,13,0,0,1,5817
24,14,0,0,0,17861
24,15,0,0,0,12839
24,16,0,0,0,8237
